scientificName,description
Anser anser,"Anser anser, commonly known as the greylag goose, is a large waterfowl species native to Europe and parts of Asia. It inhabits wetlands, including lakes, marshes, estuaries, and agricultural fields. The species exhibits a broad distribution ranging from Iceland and northern Europe to central Asia. Its diet primarily consists of grasses, roots, and aquatic vegetation, supplemented by agricultural crops in some regions. Behaviorally, Anser anser is social, often forming large flocks outside the breeding season. It is migratory in northern populations, moving southward during winter. The greylag goose is currently classified as Least Concern on the IUCN Red List, reflecting stable population trends."
Anthus pratensis,"Anthus pratensis, commonly known as the Meadow Pipit, is a small passerine bird widely distributed across Europe and parts of Asia. It predominantly inhabits open grasslands, moorlands, and heathlands, favoring areas with low vegetation. The species exhibits insectivorous feeding habits, consuming a diet mainly composed of insects and other small invertebrates, supplemented occasionally by seeds. Meadow Pipits display ground-nesting behavior and are known for their characteristic undulating flight and repetitive, high-pitched song during the breeding season. Although populations fluctuate locally, Anthus pratensis is currently classified as Least Concern by the IUCN, reflecting a stable overall population without significant immediate threats."
Anthus trivialis,"Anthus trivialis, commonly known as the Tree Pipit, is a small passerine bird primarily found across much of Europe and parts of western Asia. Its preferred habitat includes open woodlands, forest edges, and clearings where it can forage on the ground. The species is migratory, wintering in sub-Saharan Africa. The Tree Pipit's diet mainly consists of insects and other small invertebrates, supplemented by seeds during the colder months. Behaviorally, it is known for its distinctive undulating flight and its characteristic song delivered during aerial displays. Currently, Anthus trivialis is classified as Least Concern by the IUCN, with stable population trends across its range."
Ardea cinerea,"Ardea cinerea, commonly known as the grey heron, is a large wading bird native to parts of Europe, Asia, and Africa. It predominantly inhabits wetlands, including rivers, lakes, marshes, and coastal regions, where it favors shallow waters for feeding. The grey heron's diet mainly consists of fish, supplemented by amphibians, small mammals, and insects. This species typically forages by standing still or slowly stalking prey before striking with its long, sharp bill. Grey herons are mostly solitary when feeding but may nest colonially in trees near water. Currently, Ardea cinerea is classified as Least Concern by the IUCN, reflecting a stable global population."
Asio otus,"Asio otus, commonly known as the Long-eared Owl, is a medium-sized owl species characterized by prominent ear tufts. It inhabits a variety of woodland environments, often favoring dense forests with open areas nearby for hunting. The species has a broad distribution across North America, Europe, and parts of Asia. Its diet mainly consists of small mammals, particularly rodents, supplemented by birds and insects. Asio otus is primarily nocturnal and exhibits strong site fidelity to nesting territories, often utilizing abandoned nests of other birds. Currently, the Long-eared Owl is classified as Least Concern by the IUCN, although local populations may be affected by habitat loss."
Athene noctua,"Athene noctua, commonly known as the little owl, is a small owl species characterized by its compact body, rounded head without ear tufts, and distinctive white ""eyebrows."" It inhabits a variety of environments including farmlands, open woodlands, and urban areas, often favoring habitats with scattered trees and stone walls. The species is distributed across Europe, parts of North Africa, the Middle East, and Central Asia. Its diet primarily consists of insects, small mammals, birds, and occasionally reptiles. Athene noctua is mostly nocturnal but can be active during daylight. The species is currently classified as Least Concern by the IUCN, reflecting a stable population trend."
Botaurus stellaris,"Botaurus stellaris, commonly known as the Eurasian bittern, is a medium-sized heron species inhabiting reed beds and freshwater wetlands across Europe, Asia, and parts of North Africa. It prefers dense emergent vegetation near shallow lakes, marshes, and river margins, providing camouflage and nesting sites. The diet primarily consists of fish, amphibians, insects, and small mammals, captured through stealthy stalking. This bird is generally solitary and cryptic, employing booming calls during the breeding season to establish territory. Although historically widespread, populations have declined due to wetland drainage and habitat degradation. Consequently, Botaurus stellaris is classified as Least Concern by the IUCN but requires ongoing habitat conservation efforts."
Calidris alpina,"Calidris alpina, commonly known as the dunlin, is a small wader in the Scolopacidae family. It inhabits coastal mudflats, estuaries, and tundra breeding grounds primarily across the Northern Hemisphere, including Europe, Asia, and North America. During the non-breeding season, dunlins migrate to temperate and tropical coastal regions. Their diet mainly consists of small invertebrates such as insects, mollusks, and crustaceans, which they forage by probing in soft substrates. Dunlins display social behavior, often forming large flocks, particularly during migration and wintering periods. Currently, their conservation status is classified as Least Concern by the IUCN, although habitat disturbance poses localized threats."
Caprimulgus europaeus,"Caprimulgus europaeus, commonly known as the European Nightjar, is a crepuscular and nocturnal bird species distributed across Europe, parts of North Africa, and western Asia. It inhabits open woodlands, heathlands, and moorlands with sparse tree cover, often favoring areas with dry, sandy soils. The diet primarily consists of nocturnal flying insects, including moths, beetles, and other arthropods, captured during flight. European Nightjars exhibit cryptic plumage providing effective camouflage during daylight roosting and engage in silent, erratic flight patterns at dusk and dawn. Currently, the species is classified as Least Concern by the IUCN, though habitat loss and fragmentation have caused localized population declines."
Carduelis carduelis,"Carduelis carduelis, commonly known as the European goldfinch, is a small passerine bird belonging to the finch family Fringillidae. It inhabits open, partially wooded areas, gardens, and orchards across Europe, North Africa, and western and central Asia, extending to parts of the Middle East. The species primarily feeds on seeds, especially those of thistles and teasels, supplemented by insects during the breeding season. European goldfinches exhibit social behavior, often forming flocks outside the breeding period and engaging in agile, undulating flight. Currently assessed as Least Concern by the IUCN, Carduelis carduelis maintains stable populations despite habitat changes, benefiting from adaptability to diverse environments."
Certhia brachydactyla,"Certhia brachydactyla, commonly known as the short-toed treecreeper, is a small passerine bird inhabiting deciduous and mixed woodlands across much of Europe and parts of western Asia. It favors mature forests with abundant tree bark suitable for foraging. The species primarily feeds on small insects and spiders, which it extracts by climbing tree trunks and branches using its curved bill and stiff tail feathers for support. Typically solitary or found in pairs, C. brachydactyla exhibits a distinctive creeping behavior as it ascends tree surfaces in search of prey. Currently, the short-toed treecreeper is classified as Least Concern by the IUCN, with stable population trends across its range."
Certhia familiaris,"Certhia familiaris, commonly known as the Eurasian treecreeper, is a small passerine bird widely distributed across temperate and boreal forests of Europe and northern Asia. It inhabits mature woodlands with abundant tree bark, favoring deciduous and mixed forests. The species forages by climbing tree trunks and branches in a spiral manner, using its curved bill to extract insects and spiders from crevices in the bark. Its diet primarily consists of invertebrates, supplemented by seeds during winter. Eurasian treecreepers exhibit solitary or paired behavior, often remaining within defined territories. Currently, Certhia familiaris is classified as Least Concern by the IUCN, reflecting stable populations throughout its range."
Cettia cetti,"Cettia cetti, commonly known as the Cetti's warbler, is a small passerine bird belonging to the family Cettiidae. It inhabits dense vegetation, often near water bodies such as rivers, lakes, and wetlands, favoring thick undergrowth and shrubby areas. The species has a distribution primarily across southern Europe, parts of North Africa, and western Asia. Its diet consists mainly of insects and other small invertebrates, which it forages for within dense foliage. Cetti's warbler is known for its loud and distinctive song, typically delivered from concealed perches. Currently, the species is classified as Least Concern on the IUCN Red List, reflecting a stable population without major threats."
Charadrius dubius,"Charadrius dubius, commonly known as the little ringed plover, is a small wader bird characterized by its distinctive black and white facial markings and yellow eye-ring. It inhabits open gravel or sandy areas near freshwater bodies, such as riverbanks, lakeshores, and wetlands. The species is widely distributed across Europe, Asia, and parts of North Africa, favoring temperate to subtropical regions. Its diet primarily consists of small invertebrates, including insects, worms, and crustaceans, which it forages by sight on exposed substrates. Behaviorally, it exhibits a characteristic run-and-pause feeding style and displays territorial breeding habits in spring and summer. Currently, Charadrius dubius is classified as Least Concern by the IUCN, with stable populations across much of its range."
Charadrius hiaticula,"Charadrius hiaticula, commonly known as the common ringed plover, is a small wader species found across Europe, Asia, and parts of North Africa. Its preferred habitats include sandy and gravelly coastlines, tidal mudflats, and occasionally inland freshwater shores. The species primarily feeds on invertebrates such as insects, crustaceans, and worms, foraging by sight and pecking at prey on open ground. Breeding behavior involves nesting in shallow scrapes on open substrates, with both parents engaging in incubation and chick rearing. The common ringed plover exhibits migratory behavior, wintering in coastal regions of western Africa and southern Asia. It is currently classified as Least Concern by the IUCN, reflecting stable population trends."
Chloris chloris,"Chloris chloris, commonly known as the European greenfinch, is a small passerine bird belonging to the finch family Fringillidae. It inhabits a variety of environments including woodlands, gardens, parks, and farmland across much of Europe, North Africa, and southwestern Asia. This species primarily feeds on seeds, particularly from plants such as dandelions and sunflowers, complementing its diet with insects during the breeding season. European greenfinches are social birds often observed in flocks and exhibit a characteristic undulating flight pattern. Currently, Chloris chloris is classified as Least Concern by the IUCN Red List, although localized declines have been noted due to disease and habitat changes."
Chroicocephalus ridibundus,"Chroicocephalus ridibundus, commonly known as the black-headed gull, inhabits a range of freshwater and coastal environments across Europe and Asia, extending to parts of North Africa. It is a medium-sized gull characterized by its dark chocolate-brown head during the breeding season, which fades to white in winter. The species displays highly adaptable feeding behavior, consuming insects, fish, seeds, and human refuse, often foraging in wetland areas and urban settings. Black-headed gulls typically nest in colonies on islands or marshes, exhibiting strong social behavior. The International Union for Conservation of Nature (IUCN) currently classifies this species as Least Concern, reflecting stable population trends throughout its range."
Coccothraustes coccothraustes,"Coccothraustes coccothraustes, commonly known as the Hawfinch, is a passerine bird species found across much of Europe and temperate Asia. It inhabits deciduous and mixed woodlands, often favoring areas with abundant hornbeam, cherry, and beech trees. The species’ diet primarily consists of seeds, notably from cherry and hornbeam, supplemented by buds and insects during the breeding season. Hawfinches exhibit a secretive behavior, often remaining concealed within dense foliage, and are known for their powerful bill adapted to crack hard seeds. Breeding involves territorial pairs nesting in trees or shrubs. Currently, the IUCN classifies C. coccothraustes as Least Concern due to its wide distribution and stable population trends."
Corvus corax,"Corvus corax, commonly known as the common raven, is a large passerine bird distributed across the Northern Hemisphere, including North America, Europe, Asia, and North Africa. It inhabits diverse environments such as forests, mountains, deserts, and tundra. Ravens are omnivorous, with a diet comprising carrion, small animals, insects, seeds, and human refuse. Exhibiting high intelligence, they engage in complex problem-solving and social behaviors, often forming monogamous pairs and defending extensive territories. Ravens are vocal, producing a variety of calls for communication. Currently, Corvus corax is classified as Least Concern by the IUCN, with stable population trends across its range."
Corvus corone,"Corvus corone, commonly known as the carrion crow, is a medium-sized passerine bird belonging to the family Corvidae. It is widely distributed across Western Europe and parts of Asia, inhabiting a variety of environments including woodlands, farmland, urban areas, and coastal regions. The species is omnivorous, feeding on carrion, insects, small mammals, seeds, and human refuse. Behaviorally, carrion crows are highly adaptable and exhibit complex problem-solving skills and social interactions. They are generally solitary or found in pairs but may form larger groups when foraging. The conservation status of Corvus corone is classified as Least Concern by the IUCN, reflecting its stable and widespread populations."
Coturnix coturnix,"Coturnix coturnix, commonly known as the common quail, is a small ground-dwelling bird belonging to the family Phasianidae. It is widely distributed across Europe, North Africa, and parts of Asia, favoring open habitats such as grasslands, farmlands, and scrublands. The species primarily feeds on seeds, grains, and small invertebrates, exhibiting opportunistic foraging behavior. Coturnix coturnix is known for its cryptic plumage and its characteristic melodic call during the breeding season. It is largely migratory, wintering in sub-Saharan Africa and South Asia. Currently, the species is classified as Least Concern by the IUCN, due to its broad distribution and relatively stable population."
Cuculus canorus,"Cuculus canorus, commonly known as the common cuckoo, is a migratory bird species belonging to the family Cuculidae. It breeds across temperate and subarctic regions of Europe and Asia and winters in sub-Saharan Africa and southern Asia. Its preferred habitats include open woodlands, farmlands, and wetlands. The species is insectivorous, primarily feeding on caterpillars, including hairy species avoided by other birds. Cuculus canorus exhibits brood parasitism, laying eggs in the nests of various passerine host species, which then incubate and rear the cuckoo chicks. Its conservation status is currently classified as Least Concern by the IUCN, although local populations may face threats from habitat loss and changes in host availability."
Curruca communis,"Curruca communis, commonly known as the common whitethroat, is a small passerine bird in the Sylviidae family. It inhabits open countryside with shrubs, hedgerows, and scrub across Europe and western Asia, migrating to tropical Africa during winter. Its distribution spans from the British Isles and Iberian Peninsula to Central Asia. The diet primarily consists of insects and other small invertebrates, supplemented by berries, especially in autumn. Behaviorally, C. communis is an active forager, often seen flitting through dense vegetation, and exhibits a distinctive, churring song. Breeding involves constructing nests low in shrubs. The species is currently categorized as Least Concern by the IUCN due to its wide range and stable population trends."
Curruca communis communis,"Curruca communis communis, commonly known as the common whitethroat, is a small passerine bird within the Sylviidae family. It inhabits open countryside with scattered bushes, hedgerows, and scrub across Europe and western Asia, migrating to sub-Saharan Africa for the winter. Its diet primarily consists of insects, spiders, and berries, with a preference for caterpillars during the breeding season. The species exhibits a characteristic churring and rattling song, often delivered from prominent perches. Breeding behavior includes constructing cup-shaped nests in dense vegetation. Currently, Curruca communis communis is classified as Least Concern by the IUCN, reflecting a stable population trend despite localized habitat changes."
Curruca curruca,"Curruca curruca, commonly known as the Lesser Whitethroat, is a small passerine bird belonging to the family Sylviidae. It inhabits a range of temperate regions across Europe and western Asia, favoring dense shrubbery, thickets, and woodland edges. This species is migratory, breeding in its distribution range from southern Scandinavia to Central Asia and wintering primarily in Africa and the Indian subcontinent. Its diet consists mainly of insects, supplemented occasionally by berries. Behavioral characteristics include a melodic, distinctive song used for territory defense and mate attraction. The Lesser Whitethroat is currently categorized as Least Concern by the IUCN, reflecting stable population trends despite localized habitat pressures."
Cyanistes caeruleus,"Cyanistes caeruleus, commonly known as the Eurasian blue tit, is a small passerine bird found across Europe and western Asia. Its preferred habitats include deciduous and mixed woodlands, gardens, and parks, often favoring areas with abundant oak trees. The species primarily feeds on insects, spiders, and caterpillars, supplemented with seeds and nuts, especially during winter. Exhibiting agile foraging behavior, blue tits are known for their acrobatic movements while searching for food. They nest in tree holes or nest boxes, laying multiple clutches annually. Currently, Cyanistes caeruleus is classified as Least Concern by the IUCN, reflecting its wide distribution and stable population trends."
Dendrocopos major,"Dendrocopos major, commonly known as the Great Spotted Woodpecker, is a medium-sized woodpecker species distributed across Europe and northern Asia. It inhabits a variety of wooded environments, including deciduous and mixed forests, parks, and gardens. Its diet primarily consists of insects, larvae, seeds, and nuts, supplemented occasionally by bird eggs and nestlings. The species exhibits characteristic drumming behavior used for communication and territory defense. Great Spotted Woodpeckers are generally solitary but may form loose associations outside the breeding season. Classified as Least Concern by the IUCN, Dendrocopos major maintains stable populations, benefitting from its adaptability to diverse habitats."
Dryocopus martius,"Dryocopus martius, commonly known as the Black Woodpecker, is a large woodpecker species distributed across Europe and northern Asia, inhabiting mature, dense forests primarily consisting of coniferous and mixed woodlands. This species forages mainly on insects, especially wood-boring beetle larvae, which it excavates from tree trunks using its robust bill. The Black Woodpecker exhibits solitary behavior outside the breeding season and nests in large cavities it excavates in dead or decaying trees. Its vocalizations are distinct, serving territorial and mate communication functions. Currently, Dryocopus martius is classified as Least Concern by the IUCN, owing to its wide range and stable population trends, although habitat loss poses potential localized threats."
Emberiza calandra,"Emberiza calandra, commonly known as the corn bunting, is a passerine bird species belonging to the family Emberizidae. It inhabits open farmland, grasslands, and cultivated fields primarily across Europe, North Africa, and western Asia. The species favors areas with scattered bushes and hedgerows that provide perching and nesting sites. Its diet predominantly consists of seeds and grains, supplemented by insects during the breeding season to meet higher protein needs. The corn bunting exhibits a generally ground-dwelling behavior, often seen foraging on the ground and displaying distinctive repetitive song flights by males during mating displays. Currently, Emberiza calandra is classified as Least Concern on the IUCN Red List, although some regional declines have been observed due to agricultural intensification."
Emberiza citrinella,"Emberiza citrinella, commonly known as the yellowhammer, is a passerine bird species in the family Emberizidae. It is widely distributed across Europe and parts of western Asia, inhabiting open countryside with hedgerows, farmland, and grassy areas. The yellowhammer predominantly feeds on seeds and grains, supplemented by insects during the breeding season to provide protein for nestlings. It exhibits a distinctive bright yellow head and underparts, and males are well known for their characteristic, repetitive song. Behaviorally, the species is mostly sedentary, although some northern populations may migrate southwards in winter. The yellowhammer is currently classified as Least Concern by the IUCN, with stable population trends despite localized declines due to agricultural intensification."
Emberiza hortulana,"Emberiza hortulana, commonly known as the ortolan bunting, is a small passerine bird belonging to the family Emberizidae. It inhabits open landscapes such as farmland, grasslands, and lightly wooded areas across much of Europe and western Asia. This species migrates to sub-Saharan Africa during the non-breeding season. Its diet primarily consists of seeds, supplemented by insects especially during the breeding period to provide protein for nestlings. The ortolan bunting exhibits a discreet behavior, often remaining low in vegetation, and its song is a distinctive series of high-pitched notes. Currently, Emberiza hortulana is classified as Least Concern by the IUCN, though habitat changes could impact local populations."
Emberiza schoeniclus,"Emberiza schoeniclus, commonly known as the common reed bunting, is a passerine bird species predominantly found across Europe and parts of Asia. It inhabits wetlands, reed beds, and marshy areas, often near water bodies where dense vegetation is present. Its diet primarily consists of seeds, especially from grasses and reeds, supplemented by insects during the breeding season to provide protein for nestlings. Behaviorally, the species is characterized by its skulking nature, often staying concealed within reeds but displaying a distinctive, repetitive song during mating season. The conservation status of Emberiza schoeniclus is currently listed as Least Concern by the IUCN, although habitat degradation in some regions poses localized threats."
Erithacus rubecula,"Erithacus rubecula, commonly known as the European robin, is a small passerine bird widely distributed across Europe, western Asia, and parts of North Africa. It primarily inhabits woodlands, gardens, parks, and hedgerows, favoring areas with dense undergrowth. The species is mostly insectivorous, feeding on a diet consisting of insects, spiders, and other invertebrates, supplemented by fruits and seeds during autumn and winter. Known for its territorial behavior, the European robin aggressively defends its feeding and nesting areas throughout the year. Its distinctive orange-red breast is a key identification feature. The International Union for Conservation of Nature (IUCN) currently classifies E. rubecula as Least Concern due to its large, stable population."
Ficedula hypoleuca,"Ficedula hypoleuca, commonly known as the European pied flycatcher, is a small passerine bird primarily found across Europe and western Asia. Its preferred habitat includes deciduous and mixed woodlands, particularly areas with ample tree cavities for nesting. The species is migratory, wintering in sub-Saharan Africa. Its diet mainly consists of insects and other small invertebrates, which it actively forages by sallying from perches. Breeding behavior includes territoriality and monogamous pairing, with males exhibiting distinctive black-and-white plumage during the breeding season. Currently, Ficedula hypoleuca is categorized as Least Concern by the IUCN, reflecting stable population trends despite localized habitat pressures."
Fringilla coelebs,"Fringilla coelebs, commonly known as the common chaffinch, is a small passerine bird belonging to the family Fringillidae. It is widely distributed across Europe, North Africa, and western Asia, inhabiting a variety of environments including woodlands, gardens, and parks. Its diet primarily consists of seeds, supplemented by insects during the breeding season. The species exhibits territorial behavior, particularly males during spring, characterized by a distinctive and repetitive song used to attract mates and defend territories. The common chaffinch is a non-migratory or short-distance migratory species depending on the region. Currently, it is classified as Least Concern by the IUCN, reflecting stable population trends."
Fringilla coelebs coelebs,"Fringilla coelebs coelebs, commonly known as the common chaffinch, is a passerine bird species widespread across Europe, parts of North Africa, and western Asia. It inhabits diverse environments, including deciduous and mixed woodlands, gardens, parks, and hedgerows. The species primarily feeds on seeds, supplemented by invertebrates, especially during the breeding season. Chaffinches display territorial behavior, with males exhibiting distinctive song patterns used for mate attraction and territory defense. Breeding typically occurs in spring, with nests built in trees or shrubs. Currently, Fringilla coelebs coelebs is classified as Least Concern by the IUCN, owing to its stable and widespread population."
Fulica atra,"Fulica atra, commonly known as the Eurasian coot, is a waterbird species in the family Rallidae. It inhabits freshwater lakes, ponds, marshes, and slow-moving rivers across much of Europe, Asia, Australia, and parts of North Africa. The species is omnivorous, feeding on aquatic vegetation, algae, insects, and small fish. Fulica atra exhibits territorial behavior, especially during the breeding season, and is known for its distinctive white frontal shield and strong swimming ability facilitated by lobed toes. The species is generally sedentary but may undertake local movements in response to environmental conditions. Currently, it is classified as Least Concern by the IUCN due to its wide distribution and stable population trends."
Gallinago gallinago,"Gallinago gallinago, commonly known as the common snipe, is a wader species belonging to the family Scolopacidae. It inhabits wetland environments such as marshes, bogs, wet meadows, and damp grasslands across temperate and subtropical regions of Europe, Asia, and parts of northern Africa. The species exhibits a broad Palearctic distribution, migrating to milder areas during winter. Its diet primarily consists of invertebrates, including insects, earthworms, and mollusks, which it forages for by probing soft mud with its long bill. Gallinago gallinago is known for distinctive aerial display flights during the breeding season. Currently, it is listed as Least Concern by the IUCN, although habitat loss presents localized threats."
Gallinula chloropus,"Gallinula chloropus, commonly known as the common moorhen, is a medium-sized waterbird belonging to the rail family Rallidae. It inhabits freshwater wetlands, including marshes, ponds, and lakes with dense vegetation, across a broad distribution spanning Europe, Asia, Africa, and parts of the Americas. The species is omnivorous, feeding on a varied diet of aquatic plants, seeds, insects, and small invertebrates. Behaviorally, Gallinula chloropus is known for its secretive nature, often skulking in vegetation but capable of agile swimming and walking on floating vegetation. It is generally territorial during the breeding season. The species is currently classified as Least Concern by the IUCN, reflecting a stable global population."
Garrulus glandarius,"Garrulus glandarius, commonly known as the Eurasian jay, is a member of the crow family (Corvidae) found across Europe, western Asia, and parts of North Africa. Its preferred habitats include mixed woodlands, particularly those with oak trees, as well as parks and gardens. The Eurasian jay primarily feeds on acorns, nuts, seeds, insects, and occasionally small vertebrates. It is known for its intelligence, complex social behavior, and distinctive harsh call. Notably, it plays a crucial role in seed dispersal, particularly for oak trees. The species is currently classified as Least Concern by the IUCN, with stable populations across its range."
Grus grus,"Grus grus, commonly known as the common crane, is a large, tall bird species belonging to the family Gruidae. It inhabits wetlands, marshes, and open fields across temperate regions of Europe and Asia, with breeding populations primarily in northern Europe and western Russia. The species is migratory, wintering in southern Europe, North Africa, and parts of the Middle East and India. Its diet is omnivorous, including plant material, seeds, insects, small vertebrates, and agricultural crops. Grus grus exhibits social behavior, often forming large flocks during migration. The species is currently classified as Least Concern by the IUCN, with stable population trends due to effective conservation measures and habitat protection efforts."
Haematopus ostralegus,"Haematopus ostralegus, commonly known as the Eurasian oystercatcher, is a wading bird found across coastal regions of Europe and Asia. It inhabits sandy and rocky shorelines, estuaries, and mudflats, where it forages primarily on bivalves, worms, and other marine invertebrates. The species employs a specialized technique for opening shells using its strong, flattened bill. It exhibits territorial behavior during the breeding season, nesting in shallow scrapes on the ground. Haematopus ostralegus is currently classified as Least Concern by the IUCN, although some regional populations face threats from habitat disturbance and human activities, necessitating ongoing monitoring and conservation efforts."
Hippolais icterina,"Hippolais icterina, commonly known as the Icterine Warbler, is a small passerine bird native to Europe and western Asia. It predominantly inhabits deciduous woodlands, shrublands, and riverine forests, favoring areas with dense foliage for nesting. The species is migratory, breeding across temperate regions of Europe and wintering in sub-Saharan Africa. Its diet primarily consists of insects and other small invertebrates, which it forages from leaves and branches. Behaviorally, the Icterine Warbler is noted for its melodious and varied song, often used to establish territory during the breeding season. Currently, the species is classified as Least Concern due to its wide distribution and stable population trends."
Hirundo rustica,"Hirundo rustica, commonly known as the barn swallow, is a widely distributed passerine bird species found across North America, Europe, Asia, and parts of North Africa. It inhabits open or semi-open areas such as farmland, grasslands, and near human settlements, often nesting in barns or other structures. Its diet primarily consists of flying insects, which it captures in flight. The barn swallow exhibits strong migratory behavior, traveling long distances between breeding and wintering grounds. Social and agile, it is recognized for its distinctive forked tail and glossy blue upperparts. Currently, Hirundo rustica is classified as Least Concern on the IUCN Red List, with stable population trends."
